date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:41:27	31327/31327	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/mobile-menu-3.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/mobile-menu-3.html	(from http://ace.jeka.by/)
02:41:28	41675/41675	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/typography.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/typography.html	(from http://ace.jeka.by/)
02:41:28	72117/72117	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/elements.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/elements.html	(from http://ace.jeka.by/)
02:41:29	82565/82565	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/buttons.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/buttons.html	(from http://ace.jeka.by/)
02:41:29	40088/40088	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/content-slider.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/content-slider.html	(from http://ace.jeka.by/)
02:41:30	42050/42050	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/treeview.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/treeview.html	(from http://ace.jeka.by/)
02:41:30	48714/48714	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/jquery-ui.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/jquery-ui.html	(from http://ace.jeka.by/)
02:41:31	37785/37785	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/nestable-list.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/nestable-list.html	(from http://ace.jeka.by/)
02:41:31	140735/140735	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/tables.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/tables.html	(from http://ace.jeka.by/)
02:41:31	48351/48351	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/jqgrid.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/jqgrid.html	(from http://ace.jeka.by/)
02:41:33	98228/98228	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/form-elements.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/form-elements.html	(from http://ace.jeka.by/)
02:41:33	41764/41764	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/form-elements-2.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/form-elements-2.html	(from http://ace.jeka.by/)
02:41:33	57001/57001	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/form-wizard.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/form-wizard.html	(from http://ace.jeka.by/)
02:41:34	40555/40555	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/wysiwyg.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/wysiwyg.html	(from http://ace.jeka.by/)
02:41:34	36301/36301	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/dropzone.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/dropzone.html	(from http://ace.jeka.by/)
02:41:35	68418/68418	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/widgets.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/widgets.html	(from http://ace.jeka.by/)
02:41:35	39240/39240	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/calendar.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/calendar.html	(from http://ace.jeka.by/)
02:41:36	38736/38736	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/gallery.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/gallery.html	(from http://ace.jeka.by/)
02:41:36	44900/44900	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/pricing.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/pricing.html	(from http://ace.jeka.by/)
02:41:37	36962/36962	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/invoice.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/invoice.html	(from http://ace.jeka.by/)
02:41:37	52975/52975	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/timeline.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/timeline.html	(from http://ace.jeka.by/)
02:41:37	56516/56516	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/search.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/search.html	(from http://ace.jeka.by/)
02:41:38	32958/32958	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/email.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/email.html	(from http://ace.jeka.by/)
02:41:38	12437/12437	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/login.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/login.html	(from http://ace.jeka.by/)
02:41:39	54449/54449	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/faq.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/faq.html	(from http://ace.jeka.by/)
02:41:39	33053/33053	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/error-404.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/error-404.html	(from http://ace.jeka.by/)
02:41:39	32726/32726	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/error-500.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/error-500.html	(from http://ace.jeka.by/)
02:41:40	36001/36001	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/grid.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/grid.html	(from http://ace.jeka.by/)
02:41:40	31203/31203	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202016%2008:59:12%20GMT	http://ace.jeka.by/blank.html	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/blank.html	(from http://ace.jeka.by/)
02:41:40	3317/3317	---M--	200	added ('OK')	image/png	etag:%22579f7410-cf5%22	http://ace.jeka.by/assets/images/avatars/avatar1.png	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/images/avatars/avatar1.png	(from http://ace.jeka.by/)
02:41:41	7829/7829	---MCZ	200	added ('OK')	application/javascript	etag:W/%22579f7410-1e95%22	http://ace.jeka.by/assets/js/jquery.mobile.custom.min.js	C:/Users/user/Desktop/templateAdmin/ace.jeka.by/assets/js/jquery.mobile.custom.min.js	(from http://ace.jeka.by/)
